h3index,res,lat,lon,osmid
891e3490433ffff,9,50.816484,12.9216301,https://www.openstreetmap.org/way/294662836
891e34904a7ffff,9,50.8239359,12.9256271,https://www.openstreetmap.org/node/6501149586
891e349231bffff,9,50.8348741,12.9199664,https://www.openstreetmap.org/node/8700888816
891e3492363ffff,9,50.8288873,12.9310983,https://www.openstreetmap.org/node/8568850441
891e34905cfffff,9,50.8187582,12.9377657,https://www.openstreetmap.org/node/4738185734
891e3492383ffff,9,50.8416818,12.9240191,https://www.openstreetmap.org/node/4573855643
891f1a64973ffff,9,50.7688694,12.8088425,https://www.openstreetmap.org/way/490315976
891e34906bbffff,9,50.8034524,12.9009642,https://www.openstreetmap.org/way/436700857
891e349212fffff,9,50.8493612,12.9582924,https://www.openstreetmap.org/way/496134682
891e3490d07ffff,9,50.8067097,13.0386424,https://www.openstreetmap.org/node/8781782002
891e349055bffff,9,50.8148941,12.930733,https://www.openstreetmap.org/node/2910563062
891e34905cfffff,9,50.8197971,12.9351841,https://www.openstreetmap.org/node/3105329252
891e3492343ffff,9,50.829435,12.9194594,https://www.openstreetmap.org/way/512668425
891e349233bffff,9,50.8339901,12.9321335,https://www.openstreetmap.org/node/1328942089
891e34905cfffff,9,50.8195182,12.93643,https://www.openstreetmap.org/node/832444978
891e3490503ffff,9,50.818591,12.9442406,https://www.openstreetmap.org/node/255289617
891e349232fffff,9,50.8302983,12.9408049,https://www.openstreetmap.org/node/1579667833
891e3492307ffff,9,50.8359333,12.9332258,https://www.openstreetmap.org/node/5822415672
891e34923abffff,9,50.8383517,12.9361321,https://www.openstreetmap.org/node/8655958044
891e349052bffff,9,50.8152402,12.9567887,https://www.openstreetmap.org/node/7142329419
891e3497313ffff,9,50.8144725,13.0994256,https://www.openstreetmap.org/node/6188119982
891f1a66a33ffff,9,50.8068295,12.7497613,https://www.openstreetmap.org/node/2212492988
891e3490043ffff,9,50.7954228,12.9219077,https://www.openstreetmap.org/way/822838871
891e3490503ffff,9,50.8185551,12.9443909,https://www.openstreetmap.org/node/7816761764
891e3492e6bffff,9,50.8289969,12.9609165,https://www.openstreetmap.org/node/7472925620
891f1a2d273ffff,9,50.8677219,12.9606153,https://www.openstreetmap.org/node/8712503040
891f1a2d16bffff,9,50.8849978,13.0080588,https://www.openstreetmap.org/node/4828199758
891e34933c7ffff,9,50.7986124,12.8526498,https://www.openstreetmap.org/way/521087039
891f1a2937bffff,9,50.8527103,12.7513763,https://www.openstreetmap.org/way/262859874
891f1a29327ffff,9,50.8575533,12.7665437,https://www.openstreetmap.org/way/236308163
891f1a29323ffff,9,50.858395,12.7647367,https://www.openstreetmap.org/way/256315113
891f1a29323ffff,9,50.8571888,12.766461,https://www.openstreetmap.org/node/7125085306
891f1a293abffff,9,50.863957,12.7588721,https://www.openstreetmap.org/way/231467353
891f1a29e43ffff,9,50.8558032,12.7754063,https://www.openstreetmap.org/node/1132637895
891e34930d7ffff,9,50.817424,12.8306195,https://www.openstreetmap.org/way/406543737
891e3493067ffff,9,50.8064236,12.850527,https://www.openstreetmap.org/node/399586172
891e3493013ffff,9,50.816028,12.8402461,https://www.openstreetmap.org/way/264516290
891e349309bffff,9,50.8187689,12.8320022,https://www.openstreetmap.org/way/235272479
891e349314fffff,9,50.8080956,12.8702958,https://www.openstreetmap.org/way/630173042
891f1a295afffff,9,50.898148,12.7599658,https://www.openstreetmap.org/way/392484951
891f1a29cd7ffff,9,50.8844476,12.7895595,https://www.openstreetmap.org/way/320667721
891f1a28123ffff,9,50.9169246,12.8437871,https://www.openstreetmap.org/way/249596754
891f1a2ab0bffff,9,50.9359218,12.8835627,https://www.openstreetmap.org/way/211090783
891e3482243ffff,9,50.7130764,13.0138463,https://www.openstreetmap.org/way/826107306
891e34902d7ffff,9,50.7867179,12.9012197,https://www.openstreetmap.org/way/240001333
891e34906abffff,9,50.80038,12.901762,https://www.openstreetmap.org/node/308196921
891e349005bffff,9,50.795348,12.9137117,https://www.openstreetmap.org/node/298148927
891e349007bffff,9,50.7938066,12.9270429,https://www.openstreetmap.org/node/1696470433
891e349069bffff,9,50.8047172,12.8852645,https://www.openstreetmap.org/way/462367533
891e3490473ffff,9,50.8117619,12.9127114,https://www.openstreetmap.org/node/4876683908
891e349226fffff,9,50.823818,12.8972646,https://www.openstreetmap.org/way/674047489
891e34904c7ffff,9,50.8183323,12.9044955,https://www.openstreetmap.org/way/390648526
891e3492233ffff,9,50.8341187,12.8995598,https://www.openstreetmap.org/node/5712160305
891e3490483ffff,9,50.8243458,12.9070389,https://www.openstreetmap.org/node/327673940
891e3492353ffff,9,50.8336642,12.9144307,https://www.openstreetmap.org/node/4589648555
891e349055bffff,9,50.813021,12.9318865,https://www.openstreetmap.org/node/1647018627
891e34905cbffff,9,50.816883,12.9299789,https://www.openstreetmap.org/node/3369320951
891e349056fffff,9,50.8104521,12.9501437,https://www.openstreetmap.org/node/8009470033
891e3490437ffff,9,50.8187619,12.9272604,https://www.openstreetmap.org/way/133256064
891e34905dbffff,9,50.8199022,12.9293747,https://www.openstreetmap.org/node/3930538541
891e349234fffff,9,50.8269329,12.9189403,https://www.openstreetmap.org/way/389143921
891e3492343ffff,9,50.829435,12.9194594,https://www.openstreetmap.org/way/512668423
891e3492357ffff,9,50.8341182,12.9196587,https://www.openstreetmap.org/node/3979821672
891e3492367ffff,9,50.8283826,12.9330443,https://www.openstreetmap.org/node/6401961730
891e3492373ffff,9,50.8310891,12.9287824,https://www.openstreetmap.org/way/109774587
891e3490513ffff,9,50.8204913,12.9406384,https://www.openstreetmap.org/node/783984858
891e349058bffff,9,50.8240362,12.9418319,https://www.openstreetmap.org/node/935541831
