h3index,res,lat,lon,osmid
891e349a8dbffff,9,50.7104252,12.866977,https://www.openstreetmap.org/way/239194343
891e349a887ffff,9,50.716020033,12.88422525,https://www.openstreetmap.org/relation/2821250
891e349a89bffff,9,50.715251155,12.8744591,https://www.openstreetmap.org/relation/2821177
891f1a64ccfffff,9,50.788714,12.7475885,https://www.openstreetmap.org/way/662085341
891f1a29343ffff,9,50.8533033,12.7434711,https://www.openstreetmap.org/way/301837540
891f1a64dcfffff,9,50.7899676,12.7815644,https://www.openstreetmap.org/way/233938590
891f1a66b63ffff,9,50.7994088,12.7771834,https://www.openstreetmap.org/way/264727556
891f1a64d47ffff,9,50.7858756,12.7859329,https://www.openstreetmap.org/way/295637403
891e3491293ffff,9,50.7515981,12.8434526,https://www.openstreetmap.org/way/656827404
891e3491607ffff,9,50.7593784,12.8340922,https://www.openstreetmap.org/way/656829059
891e3491293ffff,9,50.7515981,12.8434526,https://www.openstreetmap.org/way/656836974
891e3491293ffff,9,50.751852,12.8438123,https://www.openstreetmap.org/way/912964154
891e349100bffff,9,50.7585726,12.8606177,https://www.openstreetmap.org/way/300802835
891e349322bffff,9,50.788553,12.8379138,https://www.openstreetmap.org/way/238073823
891e349142bffff,9,50.7735652,12.853476,https://www.openstreetmap.org/way/215116514
891e349155bffff,9,50.772519,12.8630966,https://www.openstreetmap.org/way/724770051
891e349142fffff,9,50.7721692,12.8600661,https://www.openstreetmap.org/way/724770057
891e3491097ffff,9,50.7722198,12.8617126,https://www.openstreetmap.org/way/724770058
891e349142fffff,9,50.7729552,12.8587932,https://www.openstreetmap.org/way/824479167
891e3491543ffff,9,50.774273,12.868069,https://www.openstreetmap.org/way/391923367
891e349155bffff,9,50.7731765,12.8662005,https://www.openstreetmap.org/way/391923374
891e349155bffff,9,50.7738221,12.8668011,https://www.openstreetmap.org/way/699703007
891e349155bffff,9,50.7728252,12.8639857,https://www.openstreetmap.org/way/724770049
891e349155bffff,9,50.7729855,12.8649715,https://www.openstreetmap.org/way/724775502
891e349155bffff,9,50.7722349,12.864498,https://www.openstreetmap.org/way/724775503
891e3491543ffff,9,50.7740314,12.8684899,https://www.openstreetmap.org/way/391923361
891e349332bffff,9,50.7907983,12.872456,https://www.openstreetmap.org/way/264350174
891e349332bffff,9,50.7923762,12.8688981,https://www.openstreetmap.org/way/698720166
891e34906cfffff,9,50.7966349,12.8840908,https://www.openstreetmap.org/way/604750501
891f1a66ba3ffff,9,50.8135364,12.7806904,https://www.openstreetmap.org/way/261705794
891f1a6688fffff,9,50.8292196,12.7529224,https://www.openstreetmap.org/way/605750783
891e349367bffff,9,50.802955,12.8070552,https://www.openstreetmap.org/way/791300664
891e349348bffff,9,50.8346057,12.816238,https://www.openstreetmap.org/way/696008646
891f1a66dafffff,9,50.8460166,12.7827394,https://www.openstreetmap.org/way/301842909
891f1a29e57ffff,9,50.8593835,12.7774267,https://www.openstreetmap.org/way/301720588
891f1a29e57ffff,9,50.8597968,12.7801938,https://www.openstreetmap.org/way/256982941
891f1a66da7ffff,9,50.8500722,12.7869039,https://www.openstreetmap.org/way/301838889
891f1a29e73ffff,9,50.857502,12.7854933,https://www.openstreetmap.org/way/256982942
891f1a29e23ffff,9,50.8593515,12.8005169,https://www.openstreetmap.org/way/301720583
891e349307bffff,9,50.8057898,12.8406798,https://www.openstreetmap.org/way/277789056
891e3493067ffff,9,50.8046265,12.8510061,https://www.openstreetmap.org/way/259369043
891e3493067ffff,9,50.8047291,12.8513364,https://www.openstreetmap.org/way/368625378
891e3493007ffff,9,50.8132801,12.8447316,https://www.openstreetmap.org/way/279561572
891e34930a3ffff,9,50.8170358,12.8509596,https://www.openstreetmap.org/way/720102507
891e3493477ffff,9,50.8246299,12.8263473,https://www.openstreetmap.org/way/477878107
891e349340bffff,9,50.8269944,12.8187815,https://www.openstreetmap.org/way/780032769
891e349343bffff,9,50.8273647,12.8284084,https://www.openstreetmap.org/way/477878108
891e349338bffff,9,50.8016488,12.8555241,https://www.openstreetmap.org/way/370497589
891e34930a7ffff,9,50.8181684,12.8538347,https://www.openstreetmap.org/way/279561570
891e34931d7ffff,9,50.8180944,12.8664091,https://www.openstreetmap.org/way/265882038
891e3493117ffff,9,50.8167855,12.8808239,https://www.openstreetmap.org/way/252921003
