h3index,res,lat,lon,osmid
891e34d608fffff,9,50.5959739,12.6876949,https://www.openstreetmap.org/way/233726658
891f1a6cd0bffff,9,50.6578031,12.6807146,https://www.openstreetmap.org/way/232303807
891f1a65803ffff,9,50.7324698,12.7122953,https://www.openstreetmap.org/way/233276132
891e34991abffff,9,50.6360013,12.7947226,https://www.openstreetmap.org/way/682740095
891e349a6cfffff,9,50.7187259,12.7551647,https://www.openstreetmap.org/node/4505036489
891e349a687ffff,9,50.725999,12.7631161,https://www.openstreetmap.org/node/376989089
891f1a6554fffff,9,50.7546205,12.6330546,https://www.openstreetmap.org/node/1315105733
891f1a67377ffff,9,50.7746064,12.6249101,https://www.openstreetmap.org/way/338952318
891f1a65917ffff,9,50.7370031,12.7473876,https://www.openstreetmap.org/node/371799496
891f1a65987ffff,9,50.7434793,12.7476518,https://www.openstreetmap.org/node/371799485
891f1a64577ffff,9,50.7993604,12.7106529,https://www.openstreetmap.org/way/497197313
891f1a64493ffff,9,50.8117773,12.6661452,https://www.openstreetmap.org/node/268942928
891e349310bffff,9,50.8112981,12.8744724,https://www.openstreetmap.org/node/339459593
891e3498bc3ffff,9,50.6429958,12.9140465,https://www.openstreetmap.org/way/672714091
891e3498bb3ffff,9,50.6487028,12.9297892,https://www.openstreetmap.org/way/288897303
891e349ad47ffff,9,50.7226599,12.8956568,https://www.openstreetmap.org/way/457204960
891e34902dbffff,9,50.7832864,12.8962724,https://www.openstreetmap.org/way/660719933
891e349060fffff,9,50.7950577,12.8985992,https://www.openstreetmap.org/way/745634867
891f1a6e197ffff,9,50.717851,12.5916017,https://www.openstreetmap.org/way/286503217
