h3index,res,lat,lon,osmid
891e34d0873ffff,9,50.5045758,12.5574208,https://www.openstreetmap.org/way/10116077
891e34d0873ffff,9,50.5036073,12.5543135,https://www.openstreetmap.org/way/362275308
891e34d0b93ffff,9,50.5026968,12.5671301,https://www.openstreetmap.org/way/307282441
891e34d094bffff,9,50.5038983,12.5793413,https://www.openstreetmap.org/way/307282442
891e34d545bffff,9,50.5093662,12.6101768,https://www.openstreetmap.org/way/5464398
891e34d54dbffff,9,50.5148844,12.6090554,https://www.openstreetmap.org/way/362275309
891e34d545bffff,9,50.5099212,12.6101768,https://www.openstreetmap.org/way/392292176
891e34d54d7ffff,9,50.5187712,12.6141078,https://www.openstreetmap.org/way/18666311
891e34d54d7ffff,9,50.5191813,12.6144916,https://www.openstreetmap.org/way/49358078
891e34d54d7ffff,9,50.518092,12.6134352,https://www.openstreetmap.org/way/203166918
891e34d54d7ffff,9,50.5193095,12.614778,https://www.openstreetmap.org/way/222361082
891e34d54d7ffff,9,50.5193039,12.6152312,https://www.openstreetmap.org/way/762743612
891e34d2a63ffff,9,50.5357222,12.5198978,https://www.openstreetmap.org/way/219128069
891e34d0c9bffff,9,50.5343166,12.5283548,https://www.openstreetmap.org/way/443209634
891e34d2a2fffff,9,50.5383265,12.5317655,https://www.openstreetmap.org/way/219128070
891e34d2a27ffff,9,50.541255,12.5349922,https://www.openstreetmap.org/way/443209633
891e34d2b57ffff,9,50.5427897,12.5454289,https://www.openstreetmap.org/way/240346615
891e34d2b07ffff,9,50.5447136,12.5561655,https://www.openstreetmap.org/way/378230834
891e34d2ba3ffff,9,50.5510116,12.5648353,https://www.openstreetmap.org/way/458991930
891e34d768bffff,9,50.5520687,12.5803915,https://www.openstreetmap.org/way/238946914
891e34d76d7ffff,9,50.5520745,12.5767561,https://www.openstreetmap.org/way/238946915
891e34d768bffff,9,50.5516928,12.5823256,https://www.openstreetmap.org/way/458991929
891e34d7423ffff,9,50.5632467,12.6142404,https://www.openstreetmap.org/way/231718931
891e34d76b7ffff,9,50.554638,12.5969804,https://www.openstreetmap.org/way/240346612
891e34d7463ffff,9,50.55795,12.6066584,https://www.openstreetmap.org/way/240346613
891e34d768fffff,9,50.5521425,12.5853265,https://www.openstreetmap.org/way/289420453
891e34d7687ffff,9,50.5539219,12.5877904,https://www.openstreetmap.org/way/289420454
891f1a6d073ffff,9,50.6092991,12.5121687,https://www.openstreetmap.org/way/437638497
891f1a6d01bffff,9,50.6123573,12.5074915,https://www.openstreetmap.org/way/437638500
891f1a6d0d3ffff,9,50.6171484,12.4995074,https://www.openstreetmap.org/way/437638506
891f1a6d073ffff,9,50.6079428,12.5152852,https://www.openstreetmap.org/way/294208849
891f1a6d0d7ffff,9,50.6166427,12.5011204,https://www.openstreetmap.org/way/437638503
891f1a6d00bffff,9,50.6098252,12.511167,https://www.openstreetmap.org/way/447781250
891f1a6d39bffff,9,50.6050362,12.5225446,https://www.openstreetmap.org/way/294208848
891f1a6d067ffff,9,50.6059268,12.5203147,https://www.openstreetmap.org/way/294208850
891f1a6d383ffff,9,50.6034694,12.5281975,https://www.openstreetmap.org/way/437638492
891f1a6d39bffff,9,50.604033,12.525634,https://www.openstreetmap.org/way/437638494
891f1a6d383ffff,9,50.6034694,12.5281975,https://www.openstreetmap.org/way/447781251
891f1a6d383ffff,9,50.6032054,12.52965,https://www.openstreetmap.org/way/447781252
891f1a6d3a7ffff,9,50.6041224,12.5455597,https://www.openstreetmap.org/way/294208851
891f1a6d3bbffff,9,50.6028157,12.5372771,https://www.openstreetmap.org/way/437638488
891f1a6d16bffff,9,50.6046198,12.54721,https://www.openstreetmap.org/way/294208846
891f1a6d16bffff,9,50.6051408,12.5486985,https://www.openstreetmap.org/way/436760687
891f1a6f123ffff,9,50.6660695,12.5392163,https://www.openstreetmap.org/way/753430400
891f1a6f127ffff,9,50.6648546,12.5413084,https://www.openstreetmap.org/way/753430399
891f1a6c45bffff,9,50.6643281,12.5453033,https://www.openstreetmap.org/way/339579968
891f1a6d167ffff,9,50.6081841,12.5544152,https://www.openstreetmap.org/way/434741428
891f1a6d12bffff,9,50.6097882,12.556876,https://www.openstreetmap.org/way/434741429
891f1a6d16fffff,9,50.6068516,12.5523203,https://www.openstreetmap.org/way/436760683
891f1a6d12fffff,9,50.6120135,12.5619524,https://www.openstreetmap.org/way/297540146
891f1a6dc0bffff,9,50.6158956,12.5806279,https://www.openstreetmap.org/way/321578339
891f1a6dc5bffff,9,50.6124793,12.5663313,https://www.openstreetmap.org/way/434741434
891f1a6d12fffff,9,50.6123236,12.5636041,https://www.openstreetmap.org/way/434741435
891f1a6dc43ffff,9,50.6120554,12.5697048,https://www.openstreetmap.org/way/434741436
891f1a6dc43ffff,9,50.6115335,12.5715161,https://www.openstreetmap.org/way/434741437
891f1a6dc6bffff,9,50.6093192,12.582205,https://www.openstreetmap.org/way/434741440
