h3index,res,lat,lon,osmid
891f1a6542bffff,9,50.7579493,12.6147188,https://www.openstreetmap.org/way/743811293
891f1a65423ffff,9,50.7587464,12.6167747,https://www.openstreetmap.org/way/743811294
891e34d614bffff,9,50.5824382,12.7115085,https://www.openstreetmap.org/way/727413552
891e34985afffff,9,50.692069,12.8473862,https://www.openstreetmap.org/way/227335667
891f1a64973ffff,9,50.7688694,12.8088425,https://www.openstreetmap.org/way/490315976
891e34906bbffff,9,50.8034524,12.9009642,https://www.openstreetmap.org/way/436700857
891e349a2cfffff,9,50.702335733,12.774166366,https://www.openstreetmap.org/relation/5876617
891f1a659b3ffff,9,50.7434915,12.749017,https://www.openstreetmap.org/node/4594344889
891e3498bc3ffff,9,50.6427597,12.913337,https://www.openstreetmap.org/way/431520565
891f1a6d96fffff,9,50.5951847,12.6405392,https://www.openstreetmap.org/node/8756768255
891e3499c53ffff,9,50.6301983,12.8100491,https://www.openstreetmap.org/node/5062165221
891f1a66a33ffff,9,50.8068295,12.7497613,https://www.openstreetmap.org/node/2212492988
891f1a6e35bffff,9,50.6837281,12.5604391,https://www.openstreetmap.org/way/445078399
891f1a6524bffff,9,50.7187496,12.5948611,https://www.openstreetmap.org/way/348326246
891f1a6e5afffff,9,50.726473,12.5847058,https://www.openstreetmap.org/way/388142473
891f1a6d96fffff,9,50.5951739,12.6404476,https://www.openstreetmap.org/node/3364674873
891f1a6d967ffff,9,50.5954754,12.6408844,https://www.openstreetmap.org/node/4636954090
891f1a6d967ffff,9,50.5964551,12.6402183,https://www.openstreetmap.org/node/8756768251
891f1a6c82fffff,9,50.6368903,12.6788155,https://www.openstreetmap.org/way/301674590
891f1a6eb5bffff,9,50.6705294,12.6499953,https://www.openstreetmap.org/way/294764935
891f1a6ec57ffff,9,50.706604,12.6193567,https://www.openstreetmap.org/way/388086561
891f1a6ed0fffff,9,50.7098208,12.6647389,https://www.openstreetmap.org/way/221548711
891f1a658cfffff,9,50.7332358,12.6987457,https://www.openstreetmap.org/way/342495255
891f1a65b63ffff,9,50.7076774,12.731065,https://www.openstreetmap.org/way/353061810
891e3499c47ffff,9,50.6295419,12.8169442,https://www.openstreetmap.org/way/237690713
891e34995cfffff,9,50.64676,12.7590623,https://www.openstreetmap.org/way/240805421
891f1a6097bffff,9,50.7498071,12.5671095,https://www.openstreetmap.org/way/401413227
891f1a656d3ffff,9,50.7472332,12.5723364,https://www.openstreetmap.org/way/401404583
891f1a6091bffff,9,50.7579896,12.5662741,https://www.openstreetmap.org/way/556109002
891f1a6507bffff,9,50.737384,12.6224135,https://www.openstreetmap.org/way/277629374
891f1a655cbffff,9,50.7618691,12.6254328,https://www.openstreetmap.org/way/436998676
891f1a655dbffff,9,50.7645282,12.6192493,https://www.openstreetmap.org/way/363714907
891f1a6551bffff,9,50.7642445,12.6334261,https://www.openstreetmap.org/way/343656161
891f1a64363ffff,9,50.7611078,12.7093888,https://www.openstreetmap.org/way/426293616
891f1a65987ffff,9,50.7437238,12.7484978,https://www.openstreetmap.org/node/370113978
891f1a6450fffff,9,50.7999777,12.7074354,https://www.openstreetmap.org/node/8780408012
891f1a6450fffff,9,50.8003559,12.7091052,https://www.openstreetmap.org/way/496594282
891f1a64523ffff,9,50.800614,12.7160126,https://www.openstreetmap.org/way/385752770
891f1a6453bffff,9,50.800789,12.7135668,https://www.openstreetmap.org/way/496696388
891f1a6452bffff,9,50.7976308,12.7143646,https://www.openstreetmap.org/way/502021585
