h3index,res,lat,lon,osmid
891e3491047ffff,9,50.7549177,12.8572989,https://www.openstreetmap.org/way/317873067
891f1a66d47ffff,9,50.836769,12.7668557,https://www.openstreetmap.org/node/8718883569
891f1a2933bffff,9,50.8587451,12.7598511,https://www.openstreetmap.org/node/8758771678
891f1a2933bffff,9,50.858653,12.7591219,https://www.openstreetmap.org/node/8758771679
891f1a29327ffff,9,50.8584095,12.7682667,https://www.openstreetmap.org/node/5551139340
891e349346fffff,9,50.8191125,12.8312611,https://www.openstreetmap.org/way/319913535
891e349309bffff,9,50.8184954,12.8336581,https://www.openstreetmap.org/way/319913536
891f1a66d87ffff,9,50.8523417,12.7717004,https://www.openstreetmap.org/node/8773514891
891e3493387ffff,9,50.8049507,12.8615449,https://www.openstreetmap.org/node/4467455591
891e349318fffff,9,50.8194627,12.8756029,https://www.openstreetmap.org/node/7769270269
891e3493117ffff,9,50.8167526,12.8806842,https://www.openstreetmap.org/way/252910930
891e3493117ffff,9,50.8167876,12.880674,https://www.openstreetmap.org/way/252910932
891f1a29c8bffff,9,50.8859,12.7945696,https://www.openstreetmap.org/node/7629725518
891f1a28a47ffff,9,50.8793992,12.8640971,https://www.openstreetmap.org/node/8497404234
891f1a2aa6fffff,9,50.9263191,12.8528973,https://www.openstreetmap.org/node/8849944545
891f1a2aa6fffff,9,50.926352,12.8529362,https://www.openstreetmap.org/node/8849944546
891e3491183ffff,9,50.770824,12.8931115,https://www.openstreetmap.org/way/239062979
891e3491183ffff,9,50.7709744,12.8925604,https://www.openstreetmap.org/way/239062980
891e34902b7ffff,9,50.7912261,12.9260871,https://www.openstreetmap.org/node/8500284421
891e349002bffff,9,50.795163,12.9384387,https://www.openstreetmap.org/node/1479996903
891e34902afffff,9,50.7856467,12.9255222,https://www.openstreetmap.org/way/286782312
891e34905cbffff,9,50.8172084,12.9309246,https://www.openstreetmap.org/node/2565161544
891e3490427ffff,9,50.8163759,12.9294672,https://www.openstreetmap.org/node/2902047271
891e3490427ffff,9,50.816093,12.9295282,https://www.openstreetmap.org/way/30742910
891e34900abffff,9,50.803181,12.9377036,https://www.openstreetmap.org/way/231126446
891e349055bffff,9,50.8144845,12.9314284,https://www.openstreetmap.org/node/3373960242
891e3490427ffff,9,50.8164339,12.9261949,https://www.openstreetmap.org/way/263199388
891e349042fffff,9,50.8139857,12.9273063,https://www.openstreetmap.org/way/448778717
891e349042fffff,9,50.8130256,12.9273193,https://www.openstreetmap.org/way/922006127
891e349042fffff,9,50.813129,12.9263389,https://www.openstreetmap.org/way/922006128
891e3490553ffff,9,50.8156636,12.9332754,https://www.openstreetmap.org/node/3373960240
891e349042fffff,9,50.8140309,12.9276787,https://www.openstreetmap.org/way/448778718
891e349055bffff,9,50.8147163,12.9303819,https://www.openstreetmap.org/node/7914457451
891e349055bffff,9,50.8141121,12.9298241,https://www.openstreetmap.org/node/7942105013
891e3492223ffff,9,50.8325155,12.9035685,https://www.openstreetmap.org/node/8523191189
891e349056fffff,9,50.8107673,12.9509487,https://www.openstreetmap.org/way/330436232
891e3492343ffff,9,50.8295615,12.9182499,https://www.openstreetmap.org/node/3888543342
891e349236bffff,9,50.8254969,12.9256769,https://www.openstreetmap.org/node/2248850081
891e3492237ffff,9,50.8344916,12.9055455,https://www.openstreetmap.org/way/369392184
891e349050bffff,9,50.8153974,12.9421696,https://www.openstreetmap.org/way/530348566
891e34900abffff,9,50.802922,12.9351549,https://www.openstreetmap.org/way/737113314
891e3490427ffff,9,50.8150665,12.9261711,https://www.openstreetmap.org/way/134630492
891e349055bffff,9,50.8134135,12.9300619,https://www.openstreetmap.org/node/7869709285
891e349056fffff,9,50.809532,12.9506077,https://www.openstreetmap.org/way/738674883
891e34905cbffff,9,50.8192712,12.9294435,https://www.openstreetmap.org/node/2902047272
891e34905cbffff,9,50.8189685,12.9289534,https://www.openstreetmap.org/node/4506587436
891e3492357ffff,9,50.8333899,12.9217583,https://www.openstreetmap.org/node/3878755242
891e3492357ffff,9,50.8340895,12.9194348,https://www.openstreetmap.org/node/3878755244
891e3492347ffff,9,50.8299134,12.9207143,https://www.openstreetmap.org/node/7876330301
891e3492347ffff,9,50.8298147,12.9213077,https://www.openstreetmap.org/node/8408907782
891e3492347ffff,9,50.8306873,12.9231758,https://www.openstreetmap.org/node/3878755247
891e349230bffff,9,50.8337419,12.9228183,https://www.openstreetmap.org/node/3878755241
891e3492233ffff,9,50.8355106,12.9017183,https://www.openstreetmap.org/way/405709210
891e349214fffff,9,50.8457485,12.9376457,https://www.openstreetmap.org/node/605809679
891e349214fffff,9,50.8457158,12.9374281,https://www.openstreetmap.org/node/1432527563
891e34923cfffff,9,50.8352116,12.9179205,https://www.openstreetmap.org/node/7765542264
891e3492317ffff,9,50.8381822,12.9300412,https://www.openstreetmap.org/way/482703835
891e34923d7ffff,9,50.8400303,12.9161269,https://www.openstreetmap.org/way/369402091
891e3492e53ffff,9,50.8350314,12.9485239,https://www.openstreetmap.org/way/498592687
891e3492e53ffff,9,50.8358069,12.9482987,https://www.openstreetmap.org/way/498593909
891e3492ed3ffff,9,50.8411982,12.9455109,https://www.openstreetmap.org/way/346040871
891e3490137ffff,9,50.8036321,12.979677,https://www.openstreetmap.org/node/8586687705
891e3492ac3ffff,9,50.8232747,12.968613,https://www.openstreetmap.org/node/8565931649
891e34901d7ffff,9,50.8075029,12.9538016,https://www.openstreetmap.org/node/8632346158
891e3492e43ffff,9,50.8317067,12.9531426,https://www.openstreetmap.org/node/8592697472
891e3492e43ffff,9,50.8328531,12.9523199,https://www.openstreetmap.org/node/8592688001
891e3492acbffff,9,50.8196665,12.9643916,https://www.openstreetmap.org/node/7141329084
891e3490527ffff,9,50.8176582,12.9630806,https://www.openstreetmap.org/node/8632361723
891e3490527ffff,9,50.8175492,12.9628279,https://www.openstreetmap.org/node/8632367046
891e3492acfffff,9,50.8193443,12.9703265,https://www.openstreetmap.org/node/8592704509
891e3492e67ffff,9,50.8303961,12.970243,https://www.openstreetmap.org/way/758669026
891e3490d07ffff,9,50.8068262,13.0387584,https://www.openstreetmap.org/node/8781730668
891e3490d07ffff,9,50.8068124,13.0386153,https://www.openstreetmap.org/node/8781730669
891f1a2da27ffff,9,50.8606521,13.0623726,https://www.openstreetmap.org/way/479248665
891e3492dafffff,9,50.8628717,13.0236386,https://www.openstreetmap.org/way/896205605
891e34974b3ffff,9,50.8520479,13.073237,https://www.openstreetmap.org/way/534630457
891e34974b3ffff,9,50.8525209,13.0728467,https://www.openstreetmap.org/way/534630458
891e34974b3ffff,9,50.8526762,13.0727193,https://www.openstreetmap.org/way/534630459
891f1a2db4fffff,9,50.855115,13.0714896,https://www.openstreetmap.org/node/8571213642
891f1a2d413ffff,9,50.9111688,12.951449,https://www.openstreetmap.org/way/922236982
891f1a2d413ffff,9,50.9113082,12.9518829,https://www.openstreetmap.org/way/922236983
891f1a2d413ffff,9,50.9112791,12.9517923,https://www.openstreetmap.org/way/922236984
891f1a2d413ffff,9,50.9112386,12.9516662,https://www.openstreetmap.org/way/922236985
891f1a28973ffff,9,50.9005137,12.9202048,https://www.openstreetmap.org/node/8516058036
891f1a2d47bffff,9,50.9014579,12.9527905,https://www.openstreetmap.org/way/830805827
891e349055bffff,9,50.8143994,12.9310358,https://www.openstreetmap.org/node/7966751459
891e3492383ffff,9,50.8438976,12.9254301,https://www.openstreetmap.org/node/7538329212
891e349238fffff,9,50.8403371,12.9264266,https://www.openstreetmap.org/way/761807992
891e3482187ffff,9,50.7477492,13.0758336,https://www.openstreetmap.org/way/761541462
891f1a2c227ffff,9,50.9105522,13.0416181,https://www.openstreetmap.org/way/116713282
891f1a280a7ffff,9,50.9231395,12.8137134,https://www.openstreetmap.org/way/499434605
891e34905cbffff,9,50.8184009,12.929367,https://www.openstreetmap.org/node/8834947927
891e349207bffff,9,50.8443508,12.9084401,https://www.openstreetmap.org/node/8819716781
891f1a29cd7ffff,9,50.8860325,12.7929287,https://www.openstreetmap.org/node/5866239330
891e34903d3ffff,9,50.7894325,12.9328805,https://www.openstreetmap.org/node/6796379668
891e349040fffff,9,50.8145857,12.914123,https://www.openstreetmap.org/node/6964542237
891e349048bffff,9,50.8208261,12.9032757,https://www.openstreetmap.org/node/6953477033
891e349220fffff,9,50.8303215,12.8961478,https://www.openstreetmap.org/node/8639721772
891e34923cbffff,9,50.8342348,12.9105298,https://www.openstreetmap.org/node/8639728003
891e349042fffff,9,50.8129022,12.9272323,https://www.openstreetmap.org/node/8559778079
891e349054fffff,9,50.8110581,12.9402026,https://www.openstreetmap.org/node/5931305337
891e349050bffff,9,50.8151342,12.9435149,https://www.openstreetmap.org/node/6935261658
891e349234fffff,9,50.8267455,12.9216721,https://www.openstreetmap.org/node/8707692157
891e34904b7ffff,9,50.8266903,12.921605,https://www.openstreetmap.org/node/8707692158
891e34904b7ffff,9,50.8266357,12.9215389,https://www.openstreetmap.org/node/8707692159
891e34904b7ffff,9,50.826583,12.9214719,https://www.openstreetmap.org/node/8707692160
891e3492043ffff,9,50.8455922,12.9003604,https://www.openstreetmap.org/node/8731907256
891e349214fffff,9,50.8458287,12.9361459,https://www.openstreetmap.org/node/8617977249
891e349210fffff,9,50.8524456,12.9447779,https://www.openstreetmap.org/node/7160907907
891e3492adbffff,9,50.8219917,12.9605942,https://www.openstreetmap.org/node/7248334029
891e3482197ffff,9,50.7478581,13.0727546,https://www.openstreetmap.org/node/6590362951
891e3482183ffff,9,50.7477089,13.0699181,https://www.openstreetmap.org/node/6590362950
891f1a2d68fffff,9,50.8935539,12.9408175,https://www.openstreetmap.org/node/7837398395
891e349aeafffff,9,50.7087504,12.861712975,https://www.openstreetmap.org/relation/9479379
891f1a64107ffff,9,50.78851,12.7287823,https://www.openstreetmap.org/relation/10433359
891f1a64527ffff,9,50.8008052,12.7212964,https://www.openstreetmap.org/node/563059194
891f1a64527ffff,9,50.800778,12.7213235,https://www.openstreetmap.org/node/6498407332
891f1a64527ffff,9,50.80092795,12.7225774,https://www.openstreetmap.org/relation/10059183
891f1a66a5bffff,9,50.799336,12.726478,https://www.openstreetmap.org/node/370626548
891f1a66a43ffff,9,50.80123215,12.72920675,https://www.openstreetmap.org/relation/10059178
891f1a66a43ffff,9,50.79861465,12.72940345,https://www.openstreetmap.org/relation/10059181
891f1a66a5bffff,9,50.7993637,12.726474549,https://www.openstreetmap.org/relation/10059182
891f1a66a7bffff,9,50.79817595,12.7343777,https://www.openstreetmap.org/relation/10059180
891f1a64cc7ffff,9,50.79004135,12.748756675,https://www.openstreetmap.org/relation/10433356
891f1a66a47ffff,9,50.8004051,12.73294235,https://www.openstreetmap.org/relation/10059179
891f1a64cdbffff,9,50.79041925,12.740092075,https://www.openstreetmap.org/relation/10433357
891f1a641afffff,9,50.789190725,12.7340177,https://www.openstreetmap.org/relation/10433358
891f1a64527ffff,9,50.8016893,12.7207491,https://www.openstreetmap.org/node/1741688075
891f1a64537ffff,9,50.8040877,12.7204998,https://www.openstreetmap.org/relation/10061671
891f1a64527ffff,9,50.801713,12.72074715,https://www.openstreetmap.org/relation/12649849
891f1a64527ffff,9,50.8017367,12.7207452,https://www.openstreetmap.org/node/6498407331
891f1a66a53ffff,9,50.8014491,12.725710825,https://www.openstreetmap.org/relation/9622440
891f1a66adbffff,9,50.80676705,12.7199314,https://www.openstreetmap.org/relation/10061673
891f1a66a1bffff,9,50.804291266,12.732521866,https://www.openstreetmap.org/relation/9622441
891f1a66acfffff,9,50.80376305,12.72850085,https://www.openstreetmap.org/relation/10059177
891f1a66acbffff,9,50.80503975,12.725958649,https://www.openstreetmap.org/relation/10061672
891f1a66e6fffff,9,50.8114524,12.7245943,https://www.openstreetmap.org/relation/10061674
891f1a66e67ffff,9,50.813539899,12.72803765,https://www.openstreetmap.org/relation/10061675
891f1a66a93ffff,9,50.8150321,12.7309518,https://www.openstreetmap.org/relation/10061676
891f1a66a07ffff,9,50.8059845,12.7423736,https://www.openstreetmap.org/relation/9622442
891f1a66aa3ffff,9,50.81094895,12.7469034,https://www.openstreetmap.org/relation/10061680
891f1a66a33ffff,9,50.807530333,12.749761833,https://www.openstreetmap.org/relation/9622443
891f1a66a97ffff,9,50.81553365,12.73610025,https://www.openstreetmap.org/relation/10061677
891f1a6684bffff,9,50.81536155,12.7418506,https://www.openstreetmap.org/relation/10061678
891f1a66ab3ffff,9,50.813225849,12.745377399,https://www.openstreetmap.org/relation/10061679
891f1a29267ffff,9,50.849080966,12.7233705,https://www.openstreetmap.org/relation/10068329
891f1a29263ffff,9,50.85003365,12.719496249,https://www.openstreetmap.org/relation/10068335
891f1a66c93ffff,9,50.850921766,12.73084,https://www.openstreetmap.org/relation/10068331
891f1a2935bffff,9,50.853611,12.738098799,https://www.openstreetmap.org/relation/10068337
891f1a29343ffff,9,50.854507666,12.740645466,https://www.openstreetmap.org/relation/10068332
891f1a29347ffff,9,50.85557955,12.7463173,https://www.openstreetmap.org/relation/10083929
891f1a29357ffff,9,50.8568965,12.744990666,https://www.openstreetmap.org/relation/10068336
891f1a2931bffff,9,50.859009099,12.74605425,https://www.openstreetmap.org/relation/10088615
891f1a2931bffff,9,50.858999,12.746025,https://www.openstreetmap.org/node/6831732021
891f1a2931bffff,9,50.8581458,12.7471257,https://www.openstreetmap.org/node/1805094641
891f1a29303ffff,9,50.85891022,12.749928599,https://www.openstreetmap.org/relation/9516607
891f1a2931bffff,9,50.8580812,12.74697765,https://www.openstreetmap.org/relation/10083917
891f1a29303ffff,9,50.859056,12.7499489,https://www.openstreetmap.org/node/6427248761
891f1a29303ffff,9,50.8585842,12.7498087,https://www.openstreetmap.org/node/6427248762
891f1a29303ffff,9,50.859145,12.7501152,https://www.openstreetmap.org/node/6427248763
891f1a2931bffff,9,50.8580922,12.7471788,https://www.openstreetmap.org/node/6828926064
891f1a293d3ffff,9,50.8633289,12.7352732,https://www.openstreetmap.org/relation/10088620
891f1a293d3ffff,9,50.86238135,12.7371102,https://www.openstreetmap.org/relation/10088621
891f1a293d7ffff,9,50.864214849,12.73937445,https://www.openstreetmap.org/relation/10088618
891f1a293d3ffff,9,50.864530133,12.735824466,https://www.openstreetmap.org/relation/10088619
891f1a293d7ffff,9,50.862858425,12.740302775,https://www.openstreetmap.org/relation/10088622
891f1a293d7ffff,9,50.863189,12.739602,https://www.openstreetmap.org/node/6831732033
