h3index,res,lat,lon,osmid
891f1a60d6bffff,9,50.7646112,12.5499604,https://www.openstreetmap.org/node/8706801285
891f1a6542bffff,9,50.7579493,12.6147188,https://www.openstreetmap.org/way/743811293
891f1a65423ffff,9,50.7587464,12.6167747,https://www.openstreetmap.org/way/743811294
891f1a6803bffff,9,50.6336269,12.3478438,https://www.openstreetmap.org/way/270964728
891f1a68837ffff,9,50.627052,12.4394347,https://www.openstreetmap.org/way/625405097
891f1a61bb3ffff,9,50.7089107,12.4945926,https://www.openstreetmap.org/way/415425329
891f1a6763bffff,9,50.7922236,12.5761561,https://www.openstreetmap.org/way/610020180
891f1a62657ffff,9,50.8152475,12.386845,https://www.openstreetmap.org/node/683654905
891f1a6299bffff,9,50.8170865,12.5414275,https://www.openstreetmap.org/node/4973200855
891f1a62d23ffff,9,50.824539,12.5425224,https://www.openstreetmap.org/way/790870157
891f1a6803bffff,9,50.6337942,12.3479162,https://www.openstreetmap.org/way/270964726
891f1a616cbffff,9,50.7237418,12.3326169,https://www.openstreetmap.org/way/472043642
891f1a788b3ffff,9,50.7484894,12.2998119,https://www.openstreetmap.org/way/336753338
891f1a6d24fffff,9,50.5874523,12.4920887,https://www.openstreetmap.org/way/673622967
891e34d2c93ffff,9,50.5881355,12.5111848,https://www.openstreetmap.org/way/240358946
891f1a6d35bffff,9,50.5899887,12.516651,https://www.openstreetmap.org/way/240356108
891f1a68aa7ffff,9,50.6129199,12.4266832,https://www.openstreetmap.org/node/1419050049
891f1a68b93ffff,9,50.618291,12.4366256,https://www.openstreetmap.org/node/264699862
891f1a68837ffff,9,50.6269859,12.4391085,https://www.openstreetmap.org/way/625405094
891f1a68d83ffff,9,50.6516136,12.4396913,https://www.openstreetmap.org/way/206009098
891f1a6a197ffff,9,50.7010254,12.3518325,https://www.openstreetmap.org/way/470944748
891f1a6130fffff,9,50.709325,12.4051207,https://www.openstreetmap.org/way/272662523
891f1a6181bffff,9,50.7163178,12.4669973,https://www.openstreetmap.org/way/214172100
891f1a6d543ffff,9,50.6271221,12.5206586,https://www.openstreetmap.org/way/292098991
891f1a6f087ffff,9,50.6738811,12.4943449,https://www.openstreetmap.org/way/304239412
891f1a6f5cbffff,9,50.6835724,12.4943126,https://www.openstreetmap.org/way/304401433
891f1a6f1dbffff,9,50.6682881,12.5063152,https://www.openstreetmap.org/way/235473366
891f1a6f0abffff,9,50.6683866,12.5000791,https://www.openstreetmap.org/way/304255899
891f1a6f53bffff,9,50.6807412,12.5158301,https://www.openstreetmap.org/way/229922157
891f1a6e29bffff,9,50.6943543,12.5337231,https://www.openstreetmap.org/way/297373205
891f1a61837ffff,9,50.7166379,12.485531,https://www.openstreetmap.org/node/3759094496
891f1a619c7ffff,9,50.721166,12.4968646,https://www.openstreetmap.org/node/3712622068
891f1a619d7ffff,9,50.7242209,12.4942714,https://www.openstreetmap.org/node/3723917776
