h3index,res,lat,lon,osmid
891f1a6c08bffff,9,50.657314,12.5730112,https://www.openstreetmap.org/way/256175960
891f1a6c193ffff,9,50.6648792,12.6072893,https://www.openstreetmap.org/way/473193781
891f1a6e34bffff,9,50.6805421,12.5653269,https://www.openstreetmap.org/way/424878990
891f1a6eadbffff,9,50.6748978,12.6089254,https://www.openstreetmap.org/way/355796013
891f1a6e5a3ffff,9,50.7286164,12.5819954,https://www.openstreetmap.org/way/361848199
891f1a6564bffff,9,50.7334345,12.5789133,https://www.openstreetmap.org/way/238793478
891f1a6e1b7ffff,9,50.7147166,12.6031153,https://www.openstreetmap.org/way/576893690
891f1a65243ffff,9,50.7191913,12.5971027,https://www.openstreetmap.org/way/348326281
891e34d615bffff,9,50.5852509,12.7052137,https://www.openstreetmap.org/way/331346927
891e34d61cbffff,9,50.5906081,12.7049185,https://www.openstreetmap.org/way/304688279
891e34d680bffff,9,50.5765018,12.7718882,https://www.openstreetmap.org/way/218572530
891f1a6d977ffff,9,50.6001219,12.6394966,https://www.openstreetmap.org/way/34570170
891f1a6ce03ffff,9,50.6384605,12.6303846,https://www.openstreetmap.org/way/556266645
891f1a6cdd7ffff,9,50.6630538,12.6711709,https://www.openstreetmap.org/way/153311945
891f1a6cd8fffff,9,50.6643959,12.6811934,https://www.openstreetmap.org/way/331346929
891e349962fffff,9,50.6221208,12.7354828,https://www.openstreetmap.org/way/232541731
891e349b233ffff,9,50.6624092,12.7245588,https://www.openstreetmap.org/way/264621232
891f1a6eb5bffff,9,50.6702339,12.6486591,https://www.openstreetmap.org/way/294681640
891f1a6ec57ffff,9,50.7066178,12.6184105,https://www.openstreetmap.org/way/388129348
891f1a6ec43ffff,9,50.703671,12.6169087,https://www.openstreetmap.org/way/361846016
891f1a65303ffff,9,50.7272578,12.6402838,https://www.openstreetmap.org/way/473997174
891e349b407ffff,9,50.6979889,12.7177576,https://www.openstreetmap.org/way/229424091
891f1a65873ffff,9,50.7267879,12.7116739,https://www.openstreetmap.org/way/385176135
891e3499c13ffff,9,50.6371169,12.8177872,https://www.openstreetmap.org/way/236740692
891e3498027ffff,9,50.66714248,12.83607788,https://www.openstreetmap.org/relation/1279406
891e349b16bffff,9,50.6733515,12.7675376,https://www.openstreetmap.org/way/392287993
891e3498427ffff,9,50.684744,12.8159363,https://www.openstreetmap.org/way/56658903
891e349ae0fffff,9,50.7043481,12.8530849,https://www.openstreetmap.org/way/324597216
891e349a80bffff,9,50.7072403,12.8819602,https://www.openstreetmap.org/way/218729876
891f1a650b3ffff,9,50.7535541,12.6297067,https://www.openstreetmap.org/way/313680879
891f1a6554fffff,9,50.7552025,12.6294383,https://www.openstreetmap.org/way/313693975
891f1a6557bffff,9,50.7551167,12.6356661,https://www.openstreetmap.org/way/313405154
891f1a6510bffff,9,50.7438672,12.6571184,https://www.openstreetmap.org/way/464329782
891f1a65127ffff,9,50.7460556,12.6738589,https://www.openstreetmap.org/way/407013196
891f1a65d6fffff,9,50.7413584,12.73402,https://www.openstreetmap.org/way/129700757
891f1a65917ffff,9,50.7365076,12.7470026,https://www.openstreetmap.org/way/215075355
891f1a66177ffff,9,50.8335629,12.7060371,https://www.openstreetmap.org/way/221183373
891f1a64883ffff,9,50.7794023,12.7750927,https://www.openstreetmap.org/way/295637388
891e349311bffff,9,50.81478,12.8713278,https://www.openstreetmap.org/way/94527400
891e348a4afffff,9,50.624336,12.9191588,https://www.openstreetmap.org/way/313433190
891e348a437ffff,9,50.6232402,12.9254511,https://www.openstreetmap.org/way/210351646
891e348a4afffff,9,50.6254609,12.9195762,https://www.openstreetmap.org/way/313107615
891e348a4a3ffff,9,50.6283856,12.9199872,https://www.openstreetmap.org/node/3195960110
891e349ab1bffff,9,50.6915819,12.9000163,https://www.openstreetmap.org/way/243940261
891e3498d93ffff,9,50.6856004,12.914113,https://www.openstreetmap.org/way/245007191
891e349ab03ffff,9,50.6924264,12.9016973,https://www.openstreetmap.org/way/243940267
891e348324fffff,9,50.6712,12.9502287,https://www.openstreetmap.org/way/221584569
891e3483607ffff,9,50.6952453,12.9427062,https://www.openstreetmap.org/way/265636464
891e34836a3ffff,9,50.7009831,12.9450215,https://www.openstreetmap.org/way/312113532
891e34906bbffff,9,50.8038901,12.8985274,https://www.openstreetmap.org/way/212787969
891f1a6c0cbffff,9,50.6534293,12.5650251,https://www.openstreetmap.org/way/747895565
891f1a6c52fffff,9,50.6677762,12.6089211,https://www.openstreetmap.org/way/473572733
891f1a6ecd3ffff,9,50.7121449,12.6111637,https://www.openstreetmap.org/way/246678482
891f1a6e523ffff,9,50.7225899,12.5853425,https://www.openstreetmap.org/way/247333670
891f1a6e533ffff,9,50.7252194,12.5836829,https://www.openstreetmap.org/way/297222417
891f1a6e5afffff,9,50.7271577,12.5857821,https://www.openstreetmap.org/way/559225783
891f1a6d963ffff,9,50.5977326,12.6373676,https://www.openstreetmap.org/node/8814944759
891f1a6d967ffff,9,50.5977387,12.6409553,https://www.openstreetmap.org/node/1880715441
891f1a6d977ffff,9,50.598309,12.6403207,https://www.openstreetmap.org/way/43091886
891f1a6d977ffff,9,50.5983257,12.6384151,https://www.openstreetmap.org/way/761519393
891e34d690fffff,9,50.5785045,12.8126869,https://www.openstreetmap.org/way/281430838
891f1a6d993ffff,9,50.6132964,12.6305375,https://www.openstreetmap.org/way/430163395
891f1a6d93bffff,9,50.6026957,12.6420947,https://www.openstreetmap.org/node/565351404
891f1a6ca57ffff,9,50.6208655,12.644022,https://www.openstreetmap.org/way/376722805
891e34d640fffff,9,50.6037944,12.669176,https://www.openstreetmap.org/way/470018940
891f1a6cbabffff,9,50.6282766,12.6906211,https://www.openstreetmap.org/way/413139275
891e3499613ffff,9,50.6289581,12.7141777,https://www.openstreetmap.org/way/446274881
891f1a65b87ffff,9,50.7250467,12.7303765,https://www.openstreetmap.org/way/211911788
891e3498437ffff,9,50.6863168,12.8160493,https://www.openstreetmap.org/node/8595902484
891e349a347ffff,9,50.6979498,12.8114629,https://www.openstreetmap.org/node/8737119134
891e349a21bffff,9,50.7025594,12.7742382,https://www.openstreetmap.org/way/668616288
891e349a217ffff,9,50.7046528,12.7839435,https://www.openstreetmap.org/relation/9339142
891e3498c0bffff,9,50.6718892,12.8837013,https://www.openstreetmap.org/way/310964452
891e349aa43ffff,9,50.6854314,12.8596898,https://www.openstreetmap.org/node/3824554143
891e349aa47ffff,9,50.6855325,12.862147,https://www.openstreetmap.org/node/3824554144
891f1a65653ffff,9,50.7380863,12.5742528,https://www.openstreetmap.org/way/551142073
891f1a6565bffff,9,50.7377825,12.5742055,https://www.openstreetmap.org/way/834984878
891f1a6096bffff,9,50.7475028,12.5694387,https://www.openstreetmap.org/way/247329229
891f1a6739bffff,9,50.7874984,12.6110947,https://www.openstreetmap.org/way/541773848
891f1a65d6fffff,9,50.7415691,12.733701,https://www.openstreetmap.org/way/367698033
891f1a659d7ffff,9,50.7412375,12.7339887,https://www.openstreetmap.org/node/2142640132
891f1a6599bffff,9,50.7415202,12.7343404,https://www.openstreetmap.org/node/8849220821
891f1a659bbffff,9,50.7399944,12.7470865,https://www.openstreetmap.org/way/105207323
891f1a64577ffff,9,50.7988645,12.7080389,https://www.openstreetmap.org/way/706994104
891f1a64833ffff,9,50.7735514,12.7876484,https://www.openstreetmap.org/way/247337012
891e349348bffff,9,50.8330391,12.818318,https://www.openstreetmap.org/way/261816685
891e3493413ffff,9,50.8310199,12.818972,https://www.openstreetmap.org/way/7954117
891e3498b23ffff,9,50.6390127,12.9390879,https://www.openstreetmap.org/way/74151906
891e34989b7ffff,9,50.6689279,12.9522194,https://www.openstreetmap.org/way/271123469
891e349119bffff,9,50.7695021,12.8888737,https://www.openstreetmap.org/way/809617174
891e349119bffff,9,50.7694013,12.8892234,https://www.openstreetmap.org/way/809271128
891e349119bffff,9,50.7687469,12.8894463,https://www.openstreetmap.org/way/809271129
891e349119bffff,9,50.7689104,12.8900587,https://www.openstreetmap.org/way/809271130
891e349119bffff,9,50.7693093,12.8891492,https://www.openstreetmap.org/way/809271131
891e349119bffff,9,50.7694009,12.8892667,https://www.openstreetmap.org/way/809617183
891f1a6c353ffff,9,50.6325986,12.5874346,https://www.openstreetmap.org/way/586347302
891f1a6c357ffff,9,50.6331198,12.587852,https://www.openstreetmap.org/way/586347339
891f1a6c34fffff,9,50.6298711,12.5916698,https://www.openstreetmap.org/way/586631030
891f1a6c0c7ffff,9,50.6552143,12.5719861,https://www.openstreetmap.org/way/256176026
891f1a6c013ffff,9,50.6568506,12.57589,https://www.openstreetmap.org/way/256176029
891f1a6c08bffff,9,50.6574852,12.5734722,https://www.openstreetmap.org/way/256176031
891f1a6c00bffff,9,50.6510378,12.5764004,https://www.openstreetmap.org/way/588081193
891f1a6c353ffff,9,50.633639,12.5859686,https://www.openstreetmap.org/way/556395038
891f1a6c357ffff,9,50.6343042,12.5887939,https://www.openstreetmap.org/way/588054568
891f1a6c357ffff,9,50.6338921,12.590541,https://www.openstreetmap.org/way/588054557
891f1a6c393ffff,9,50.6460813,12.5892499,https://www.openstreetmap.org/way/588081171
891f1a6c3b7ffff,9,50.6461015,12.61058,https://www.openstreetmap.org/way/776829503
891f1a6c103ffff,9,50.6550889,12.6136543,https://www.openstreetmap.org/node/8564490767
891f1a6c567ffff,9,50.6643268,12.6041094,https://www.openstreetmap.org/way/473201509
891f1a6c567ffff,9,50.6647282,12.6045567,https://www.openstreetmap.org/relation/3736318
891f1a6c52bffff,9,50.6671409,12.6050512,https://www.openstreetmap.org/way/284263117
891f1a6c183ffff,9,50.6628841,12.6094443,https://www.openstreetmap.org/way/473583133
891f1a6c183ffff,9,50.6628902,12.6091265,https://www.openstreetmap.org/way/473583135
891f1a6c193ffff,9,50.6657595,12.6053092,https://www.openstreetmap.org/way/623482652
891f1a6c197ffff,9,50.6665846,12.611311,https://www.openstreetmap.org/way/473010830
891f1a6c193ffff,9,50.6659535,12.609426,https://www.openstreetmap.org/way/473151211
891f1a6c4b3ffff,9,50.6772327,12.5657534,https://www.openstreetmap.org/way/362646044
891f1a6e35bffff,9,50.6822233,12.5611035,https://www.openstreetmap.org/way/445083468
891f1a6e34bffff,9,50.6806612,12.5629466,https://www.openstreetmap.org/way/445112959
891f1a6c43bffff,9,50.6688904,12.5677157,https://www.openstreetmap.org/way/231213515
891f1a6e353ffff,9,50.6839666,12.5630557,https://www.openstreetmap.org/way/371505289
891f1a6e34fffff,9,50.6791809,12.5681725,https://www.openstreetmap.org/way/445953606
891f1a6e35bffff,9,50.6831461,12.5635319,https://www.openstreetmap.org/way/445998276
891f1a6e35bffff,9,50.6834088,12.5622245,https://www.openstreetmap.org/way/445083465
891f1a6e35bffff,9,50.6832551,12.5625196,https://www.openstreetmap.org/way/445083466
891f1a6e35bffff,9,50.6831507,12.5629702,https://www.openstreetmap.org/way/445083467
891f1a6e35bffff,9,50.6814225,12.5628731,https://www.openstreetmap.org/way/445112926
891f1a6e343ffff,9,50.6829569,12.5682511,https://www.openstreetmap.org/way/445385298
891f1a6e34fffff,9,50.6790572,12.5683856,https://www.openstreetmap.org/way/445385307
891f1a6e2b7ffff,9,50.6934578,12.5545279,https://www.openstreetmap.org/way/231196411
891f1a6e06bffff,9,50.6947472,12.55776,https://www.openstreetmap.org/way/231071922
891f1a6e38fffff,9,50.6935063,12.5775103,https://www.openstreetmap.org/way/252209576
891f1a6e07bffff,9,50.6978077,12.5561359,https://www.openstreetmap.org/way/231212527
891f1a6e07bffff,9,50.6976524,12.5560405,https://www.openstreetmap.org/way/231212528
891f1a6e08fffff,9,50.7090756,12.5565098,https://www.openstreetmap.org/way/411618530
891f1a6e503ffff,9,50.7238726,12.572369,https://www.openstreetmap.org/way/240518142
891f1a6e507ffff,9,50.7235167,12.5783173,https://www.openstreetmap.org/way/518923819
891f1a6e507ffff,9,50.7239549,12.5798142,https://www.openstreetmap.org/way/518919747
891f1a6e507ffff,9,50.7241227,12.5789569,https://www.openstreetmap.org/way/815950243
891f1a6e507ffff,9,50.7233901,12.5798347,https://www.openstreetmap.org/way/815957497
891f1a6e507ffff,9,50.7238424,12.578655,https://www.openstreetmap.org/way/818008423
891f1a6e5b3ffff,9,50.731278,12.5794514,https://www.openstreetmap.org/way/390637490
891f1a6e5b3ffff,9,50.7320093,12.5807013,https://www.openstreetmap.org/way/390892501
891f1a6524bffff,9,50.7165254,12.5954628,https://www.openstreetmap.org/way/549210446
891f1a6520fffff,9,50.7240224,12.6100457,https://www.openstreetmap.org/way/507638468
891f1a6d96fffff,9,50.5937424,12.6385411,https://www.openstreetmap.org/way/676054531
891f1a6d96fffff,9,50.5951408,12.6403639,https://www.openstreetmap.org/way/945909656
891f1a6d963ffff,9,50.5966963,12.6367144,https://www.openstreetmap.org/way/43029242
891f1a6d963ffff,9,50.5962653,12.6373141,https://www.openstreetmap.org/way/945909651
891f1a6d96fffff,9,50.5951795,12.6405895,https://www.openstreetmap.org/way/945909655
891f1a6d96fffff,9,50.5953937,12.640856,https://www.openstreetmap.org/way/945909658
