index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891e348b017ffff	h3place				12.86389	50.56837	9.0		50.56836838782216	12.863889345065779
1	891f1a6ce0bffff	h3place				12.62923	50.63634	9.0		50.63634301118446	12.62923189421996
2	891e34d0857ffff	h3place				12.54898	50.50666	9.0		50.506656084189146	12.548983093330424
3	891e34d2a9bffff	h3place				12.51093	50.5497	9.0		50.54970145826248	12.510926222513623
4	891f1a6d35bffff	h3place				12.5173	50.5907	9.0		50.59069977473737	12.517304244723249
5	891e34d63c7ffff	h3place				12.69833	50.57512	9.0		50.57511834133085	12.698327128361893
6	891e349b363ffff	h3place				12.75322	50.65734	9.0		50.657340855492755	12.753215828560316
7	891e349a6d7ffff	h3place				12.75279	50.72313	9.0		50.72312541948299	12.752792266959283
8	891e349a677ffff	h3place				12.76834	50.71404	9.0		50.714040084171074	12.768339677050413
9	891e348b2a3ffff	h3place				12.85529	50.55259	9.0		50.5525862051084	12.855293641416065
10	891e3499c73ffff	h3place				12.82208	50.62898	9.0		50.62898232648476	12.822077250754635
11	891e3499137ffff	h3place				12.80205	50.63272	9.0		50.632724560326785	12.802053993066298
12	891e349ae6bffff	h3place				12.85118	50.69674	9.0		50.69674496360756	12.851175230918425
13	891f1a6e943ffff	h3place				12.66919	50.68968	9.0		50.68968326662872	12.669185969937882
14	891e3499b0bffff	h3place				12.85658	50.59831	9.0		50.59831182071505	12.856575508134382
15	891f1a6c59bffff	h3place				12.58624	50.679	9.0		50.678998962895385	12.586239564390532
16	891e349b16bffff	h3place				12.7667	50.67343	9.0		50.67343250808298	12.766704396885261
17	891f1a6d90fffff	h3place				12.63706	50.6014	9.0		50.60140360470146	12.637057470495845
18	891e348b077ffff	h3place				12.86694	50.56096	9.0		50.56096083279581	12.866942069066814
19	891f1a6d0b7ffff	h3place				12.52454	50.6216	9.0		50.62160158879714	12.524541227268946
20	891e34d6037ffff	h3place				12.70199	50.59057	9.0		50.59057393355347	12.701986221416416
21	891e34d721bffff	h3place				12.6011	50.53051	9.0		50.53050817795031	12.601098949586905
22	891e34d63c3ffff	h3place				12.69343	50.57479	9.0		50.5747893013232	12.693429300687196
23	891f1a6f127ffff	h3place				12.54297	50.66592	9.0		50.66591670564046	12.542972220538523
24	891e34d2a23ffff	h3place				12.53134	50.54096	9.0		50.54096081677345	12.531343617527794
25	891e34d491bffff	h3place				12.82527	50.52778	9.0		50.527775199906905	12.825265500577384
26	891e34d646bffff	h3place				12.66952	50.59599	9.0		50.59599382480251	12.669522316255465
27	891e34d6693ffff	h3place				12.64727	50.59703	9.0		50.59702606635959	12.647271249990057
28	891e34d44dbffff	h3place				12.67284	50.55566	9.0		50.5556550029322	12.672843207881437
29	891e349b44bffff	h3place				12.70128	50.68931	9.0		50.689311229030615	12.701279438295485
30	891e349a253ffff	h3place				12.76957	50.69894	9.0		50.69893744081034	12.769566781981844
31	891e34d750bffff	h3place				12.63508	50.56578	9.0		50.56578275585378	12.635083723895217
32	891e34d5403ffff	h3place				12.62458	50.51434	9.0		50.51434420568894	12.624580045814172
33	891e349a2cfffff	h3place				12.77182	50.70162	9.0		50.70161805257915	12.77181649285345
34	891f1a6d977ffff	h3place				12.63972	50.59905	9.0		50.599049290729866	12.639715360400569
35	891f1a65bc3ffff	h3place				12.71618	50.71815	9.0		50.71814807243618	12.716181460978246
36	891e34d4d6bffff	h3place				12.81241	50.53454	9.0		50.534537073524184	12.812414574384835
37	891f1a6c5cbffff	h3place				12.57952	50.67095	9.0		50.6709466385846	12.579519192103943
38	891e34985a7ffff	h3place				12.84892	50.69407	9.0		50.694065313493326	12.848921976056017
39	891e349a273ffff	h3place				12.78204	50.69724	9.0		50.69723577417158	12.782041697059435
40	891e348b543ffff	h3place				12.86799	50.57878	9.0		50.57878051932745	12.867988066813755
41	891e34d4ca7ffff	h3place				12.79161	50.54838	9.0		50.54837871708659	12.791605367860397
42	891e34d4b03ffff	h3place				12.81444	50.5093	9.0		50.50929659166633	12.814438860689707
43	891e349b5d3ffff	h3place				12.73214	50.70403	9.0		50.704033723396044	12.732141964557966
