index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891f02b358bffff	h3place				11.43858	53.99578	9.0		53.99578107554948	11.438577996810137
1	891f02869b3ffff	h3place				11.37942	53.99359	9.0		53.99359359113968	11.379421095316937
2	891f02b8cdbffff	h3place				11.46052	53.84348	9.0		53.84347678603369	11.460517185534835
3	891f02b1a77ffff	h3place				11.53252	53.89237	9.0		53.89236543574834	11.532518905716515
4	891f02b124bffff	h3place				11.42353	53.89841	9.0		53.89841121455211	11.423534749875946
5	891f02ba8d3ffff	h3place				11.45914	53.8795	9.0		53.8794989827936	11.459139359837913
6	891f02baea3ffff	h3place				11.44891	53.87871	9.0		53.87870884131408	11.44891338636953
7	891f02a312bffff	h3place				11.61288	53.86478	9.0		53.86477914899106	11.612875937983073
8	891f02b2b2bffff	h3place				11.61821	53.9831	9.0		53.98309821188318	11.618214729486946
9	891f02a148bffff	h3place				11.56431	53.83699	9.0		53.836989219811976	11.564307597202447
10	891f02b18c7ffff	h3place				11.53504	53.91663	9.0		53.91662858028947	11.535038798144504
11	891f02bb06fffff	h3place				11.32207	53.83752	9.0		53.83752076949349	11.322066876221955
12	891f02b8db3ffff	h3place				11.52133	53.85298	9.0		53.85297584334562	11.52133316459164
13	891f02bac87ffff	h3place				11.45704	53.8986	9.0		53.89859668521788	11.45703997707289
14	891f02b05cbffff	h3place				11.52033	53.98044	9.0		53.98044414535953	11.520334420628155
15	891f02a3107ffff	h3place				11.60725	53.86917	9.0		53.86916894647345	11.607246131128127
16	891f02ba883ffff	h3place				11.47166	53.88287	9.0		53.88287307207692	11.471660890609515
17	891f02a0693ffff	h3place				11.61569	53.86258	9.0		53.86258399530653	11.615690598583372
18	891f02a056fffff	h3place				11.67991	53.86503	9.0		53.86503102800182	11.67990808455325
19	891f0284a47ffff	h3place				11.3396	53.91113	9.0		53.91112850124445	11.339603324787715
20	891f02b02cbffff	h3place				11.48814	53.94431	9.0		53.94430638115073	11.488141717884165
21	891f02ba677ffff	h3place				11.35356	53.87852	9.0		53.87852104096197	11.35355705266028
22	891f02bac23ffff	h3place				11.46832	53.88984	9.0		53.889838066806625	11.468317954677097
23	891f02b3597ffff	h3place				11.44317	54.00094	9.0		54.000942634942085	11.443173221404786
24	891f02b8533ffff	h3place				11.43339	53.85583	9.0		53.855832745928446	11.433389025380963
25	891f02bac37ffff	h3place				11.47061	53.89242	9.0		53.89242251435491	11.470613122829885
26	891f02ba527ffff	h3place				11.41789	53.90279	9.0		53.90278764800217	11.417893278290142
27	891f02b8ccfffff	h3place				11.46844	53.84168	9.0		53.84167941548578	11.468444695538258
28	891f02b3507ffff	h3place				11.44935	53.99181	9.0		53.991807081102806	11.449348627608872
29	891f02ba67bffff	h3place				11.34616	53.87554	9.0		53.87553501414763	11.346158389398013
30	891f02ba89bffff	h3place				11.46655	53.88248	9.0		53.882478615774254	11.46654720869668
31	891f02baca7ffff	h3place				11.47009	53.8972	9.0		53.89719665444269	11.470089122771073
32	891f02bac17ffff	h3place				11.45756	53.89382	9.0		53.893822840647104	11.457564939134073
33	891f02b8297ffff	h3place				11.39005	53.82838	9.0		53.828375053560336	11.390048353383651
34	891f02b1117ffff	h3place				11.48971	53.92999	9.0		53.929993293099606	11.489710702267873
35	891f0049b27ffff	h3place				11.44265	54.00571	9.0		54.00570773803287	11.442646323782757
36	891f02843dbffff	h3place				11.27046	53.92976	9.0		53.92975850587782	11.270462932888465
37	891f02b1973ffff	h3place				11.57932	53.91279	9.0		53.91279064329986	11.579323917865109
38	891f02a205bffff	h3place				11.61952	53.899	9.0		53.89899624905895	11.619518224385018
39	891f02b08bbffff	h3place				11.61566	53.95886	9.0		53.95885898469988	11.615659620814334
40	891f02a0297ffff	h3place				11.6405	53.8476	9.0		53.84760043408491	11.640504078142193
41	891f0284313ffff	h3place				11.2858	53.93097	9.0		53.93096630988302	11.285799829978396
42	891f02b85a7ffff	h3place				11.43797	53.86101	9.0		53.86100504441141	11.437973630586132
43	891f02b133bffff	h3place				11.47927	53.90753	9.0		53.90753245692832	11.479272457748399
44	891f02a349bffff	h3place				11.53815	53.88798	9.0		53.887981737133195	11.538154204964068
45	891f02b8cc3ffff	h3place				11.46563	53.84387	9.0		53.84387133923706	11.465627575897317
46	891f02b9dcfffff	h3place				11.43636	53.80546	9.0		53.80545813356805	11.436358302577661
47	891f02ba4bbffff	h3place				11.36852	53.90617	9.0		53.906167859536104	11.368521705195516
48	891f02b13afffff	h3place				11.48387	53.9127	9.0		53.91269958134331	11.483865372749435
49	891f02ba187ffff	h3place				11.42124	53.89583	9.0		53.89582634489985	11.421241718832604
50	891f02bac8fffff	h3place				11.45475	53.89601	9.0		53.896012283982245	11.454745264535108
51	891f02b184fffff	h3place				11.53608	53.90708	9.0		53.907081182466726	11.536077574251333
52	891f0284837ffff	h3place				11.37556	53.93559	9.0		53.93558919800556	11.375561672137623
53	891f02badd3ffff	h3place				11.4752	53.89759	9.0		53.89759102120498	11.475204082613164
54	891f02b0537ffff	h3place				11.55108	53.9828	9.0		53.982796547475886	11.551075083090113
55	891f02b13d7ffff	h3place				11.46058	53.91331	9.0		53.91331093307016	11.460580452271433
56	891f02a3067ffff	h3place				11.57477	53.85947	9.0		53.859471117520215	11.574767882881927
57	891f02b9b23ffff	h3place				11.46327	53.77137	9.0		53.771367829828165	11.4632681945348
58	891f0049b67ffff	h3place				11.43293	54.00015	9.0		54.00015020460656	11.432928563446403
59	891f0285d83ffff	h3place				11.30504	53.92045	9.0		53.920449847773284	11.305035719114837
60	891f0284823ffff	h3place				11.37327	53.93301	9.0		53.93300507579098	11.373269701811834
61	891f02bae87ffff	h3place				11.44098	53.8805	9.0		53.88050316017926	11.440981352687563
62	891f02b0ca3ffff	h3place				11.60105	53.97458	9.0		53.974582733039966	11.60104830668658
63	891f02aa207ffff	h3place				11.51078	53.76055	9.0		53.76055320252354	11.51077678319363
64	891f028cdb3ffff	h3place				11.27101	53.83351	9.0		53.83350620335415	11.271014927683716
65	891f02b8a0bffff	h3place				11.48003	53.80642	9.0		53.80642177160814	11.480031896180472
66	891f0284167ffff	h3place				11.31312	53.94033	9.0		53.94032853883434	11.313117862574178
67	891f02b06abffff	h3place				11.49117	53.96378	9.0		53.96377903341184	11.491169373033527
68	891f02b1b47ffff	h3place				11.5581	53.89432	9.0		53.894322035838464	11.558101880053222
69	891f02aa08bffff	h3place				11.5161	53.78267	9.0		53.78267186709975	11.516096408180276
70	891f02b2a57ffff	h3place				11.56414	53.98139	9.0		53.981390230484166	11.564144438162096
71	891f02ba893ffff	h3place				11.46884	53.88506	9.0		53.88506336602532	11.468842023182948
72	891f02ba6a7ffff	h3place				11.36271	53.88887	9.0		53.8888660767708	11.362714386860798
73	891f02bb403ffff	h3place				11.29614	53.86198	9.0		53.86198117791941	11.296142336612295
74	891f02a052fffff	h3place				11.68964	53.87058	9.0		53.87058110353642	11.68963647308802
75	891f02b93afffff	h3place				11.37158	53.78596	9.0		53.78595618405791	11.371578029454033
76	891f02badcfffff	h3place				11.48084	53.89321	9.0		53.893210954777686	11.480842473894283
77	891f02b310fffff	h3place				11.46682	53.97393	9.0		53.973925213581836	11.46681545086136
78	891f02b8cd3ffff	h3place				11.46281	53.84606	9.0		53.84606309293249	11.462810295043282
79	891f0284e07ffff	h3place				11.32953	53.93199	9.0		53.93199355288643	11.329530115332004
80	891f02b0203ffff	h3place				11.5035	53.94549	9.0		53.94548714319002	11.50349994041279
81	891f02b125bffff	h3place				11.42071	53.9006	9.0		53.90059951636413	11.420714094746408
82	891f02baea7ffff	h3place				11.45403	53.8791	9.0		53.87910401784072	11.454026287950956
83	891f02b952fffff	h3place				11.37121	53.81245	9.0		53.81244712290074	11.371212946456797
84	891f02b2e83ffff	h3place				11.54848	54.00663	9.0		54.006632995959194	11.548479945028832
85	891f02b1dcbffff	h3place				11.54372	53.93173	9.0		53.93173026920372	11.54371899716326
86	891f02b1acbffff	h3place				11.51153	53.89557	9.0		53.895571194026694	11.511534604438912
87	891f02b95afffff	h3place				11.36786	53.81942	9.0		53.81941642403145	11.367864107776601
88	891f02a01d7ffff	h3place				11.68272	53.86283	9.0		53.86283402103296	11.682721205682366
89	891f02b8c57ffff	h3place				11.47126	53.83949	9.0		53.83948732168416	11.47126165396629
90	891f02bacafffff	h3place				11.46779	53.89461	9.0		53.89461238022666	11.467793808701854
91	891f02b126fffff	h3place				11.4417	53.89741	9.0		53.897410666161164	11.44169684274594
92	891f02ba5dbffff	h3place				11.38157	53.90478	9.0		53.90477805527012	11.381569608992873
93	891f028495bffff	h3place				11.38121	53.93122	9.0		53.931217870995106	11.381207983558369
94	891f02842bbffff	h3place				11.25741	53.93113	9.0		53.93113470674323	11.25741348309312
95	891f02bacc3ffff	h3place				11.44222	53.89264	9.0		53.89263694393906	11.442222912456808
96	891f02b09b3ffff	h3place				11.65384	53.96415	9.0		53.96415344420863	11.653836924932245
97	891f02b0587ffff	h3place				11.53749	53.98897	9.0		53.98896911038122	11.537486001426885
98	891f02b8cd7ffff	h3place				11.46792	53.84646	9.0		53.8464575608129	11.467920954748532
99	891f02b9dabffff	h3place				11.45397	53.80923	9.0		53.80923154458968	11.453970233951376
100	891f02b09d3ffff	h3place				11.63103	53.96002	9.0		53.96002394885177	11.631031640455552
101	891f02b3567ffff	h3place				11.4527	53.98486	9.0		53.98485527288388	11.4526987473232
102	891f02a02bbffff	h3place				11.64613	53.84321	9.0		53.84320698565355	11.646130445021125
103	891f02bac77ffff	h3place				11.46091	53.88686	9.0		53.88685878118108	11.460909113380582
104	891f02bae8fffff	h3place				11.43869	53.87792	9.0		53.87791785361454	11.438688094414726
