index	Id	v_type	attributes.osmid	attributes.tagvalue	attributes.tagname	Lon	Lat	attributes.resolution	attributes.h3index	lat	lon
0	891e3493067ffff	h3place				12.84987	50.80542	9.0		50.805419123452765	12.849868922304337
1	891e349367bffff	h3place				12.80562	50.8025	9.0		50.80249719964652	12.805617024115922
2	891e3490627ffff	h3place				12.91235	50.79688	9.0		50.79687752704656	12.912347124866564
3	891e3491c7bffff	h3place				12.93029	50.75759	9.0		50.75759100813911	12.930288660357794
4	891f1a64c07ffff	h3place				12.7622	50.7895	9.0		50.78950341612579	12.762196320255413
5	891e349315bffff	h3place				12.86196	50.80874	9.0		50.80874191558263	12.861961533636208
6	891e34915d7ffff	h3place				12.86889	50.78392	9.0		50.783920184142474	12.868892692390414
7	891e349a8d7ffff	h3place				12.87452	50.71347	9.0		50.71346529386411	12.874521744232577
8	891e349338bffff	h3place				12.85519	50.80071	9.0		50.800714447054744	12.855190043844551
9	891e349a927ffff	h3place				12.93652	50.70992	9.0		50.70992450328909	12.936523642360951
10	891e349119bffff	h3place				12.88976	50.77012	9.0		50.770118156129726	12.889762523666638
11	891f1a64ccfffff	h3place				12.74745	50.78852	9.0		50.788520592418	12.74745391509669
12	891f1a65803ffff	h3place				12.71003	50.73292	9.0		50.73291535347916	12.71003356661671
13	891e3491ab3ffff	h3place				12.94171	50.7381	9.0		50.73809731647292	12.941709776537511
14	891e3491543ffff	h3place				12.8697	50.77386	9.0		50.773859636924804	12.869697527108478
15	891f1a65977ffff	h3place				12.74972	50.73051	9.0		50.73051045632175	12.749721827027345
16	891e348366fffff	h3place				12.94342	50.68506	9.0		50.68505864338347	12.943420632674464
17	891e349ad0fffff	h3place				12.90319	50.72547	9.0		50.7254653675831	12.903194571668358
18	891e349340bffff	h3place				12.821	50.82626	9.0		50.826257154816254	12.820998001394155
19	891f1a65987ffff	h3place				12.74624	50.74293	9.0		50.74292601720853	12.746239967322243
20	891f1a65d1bffff	h3place				12.72086	50.75135	9.0		50.751346174591944	12.720862927119214
21	891e34906d7ffff	h3place				12.8847	50.80265	9.0		50.80265184419328	12.884696203982607
22	891e3491a1bffff	h3place				12.93002	50.72975	9.0		50.72974609816631	12.930019855542755
23	891e349316bffff	h3place				12.87712	50.80468	9.0		50.80468247547235	12.877118203956602
24	891e34906cfffff	h3place				12.8851	50.79762	9.0		50.79762291102527	12.885097647944287
25	891e349ae0fffff	h3place				12.85303	50.70446	9.0		50.70446012895852	12.853025573504388
26	891f1a65917ffff	h3place				12.74665	50.73789	9.0		50.73789455067931	12.746650777343074
27	891e349ad07ffff	h3place				12.90545	50.72814	9.0		50.728143180962434	12.905451361223873
28	891e349ad47ffff	h3place				12.89603	50.72247	9.0		50.72246607950478	12.896025157954586
29	891f1a64103ffff	h3place				12.72289	50.78688	9.0		50.7868785162243	12.722885994557434
30	891e349a46bffff	h3place				12.77959	50.72744	9.0		50.72743945105559	12.779592270534046
31	891f1a64c37ffff	h3place				12.77203	50.79016	9.0		50.79015762249713	12.772025277934022
32	891f1a64db3ffff	h3place				12.79845	50.79949	9.0		50.79949473551078	12.798446546076574
33	891e3490603ffff	h3place				12.89493	50.79827	9.0		50.798267012167855	12.894933435260839
34	891f1a6620bffff	h3place				12.64894	50.81476	9.0		50.81475697820729	12.648942274084456
35	891e3490607ffff	h3place				12.89985	50.79859	9.0		50.798588759272675	12.899851532489961
36	891e3491eafffff	h3place				12.92843	50.74988	9.0		50.749881597762645	12.92842789853711
37	891e3498bc3ffff	h3place				12.91224	50.6425	9.0		50.64250475171617	12.912236227615203
38	891e349adafffff	h3place				12.91262	50.73114	9.0		50.73114177783038	12.912622009463325
39	891e349ada7ffff	h3place				12.91488	50.73382	9.0		50.733819264118836	12.914879420211955
40	891e349a8c3ffff	h3place				12.87227	50.71079	9.0		50.71078654199286	12.872266865924358
41	891f1a65907ffff	h3place				12.74931	50.73554	9.0		50.73554249738865	12.749311275408246
42	891e349ad33ffff	h3place				12.91036	50.72846	9.0		50.728464168534856	12.91036478980356
43	891e3490233ffff	h3place				12.92338	50.78243	9.0		50.782428893166156	12.923380238030692
44	891e3491867ffff	h3place				12.95871	50.74173	9.0		50.74173189415746	12.958714752228786
45	891e349065bffff	h3place				12.88058	50.79227	9.0		50.79227129362624	12.880581688356298
46	891e3493143ffff	h3place				12.86688	50.80907	9.0		50.8090650772443	12.866879606090396
47	891f1a64023ffff	h3place				12.70098	50.78288	9.0		50.78288248386679	12.700984946520071
48	891e34834dbffff	h3place				12.93613	50.71496	9.0		50.714960450563524	12.936126306161
49	891e3491477ffff	h3place				12.85004	50.77257	9.0		50.77256689552985	12.850035664897622
50	891e349310bffff	h3place				12.87406	50.81206	9.0		50.81206345079514	12.874055840376588
51	891e3491e23ffff	h3place				12.92883	50.74485	9.0		50.74484827738329	12.928825972458787
52	891e34916abffff	h3place				12.8361	50.76153	9.0		50.76153375111536	12.836100106239051
53	891e349302fffff	h3place				12.85704	50.80842	9.0		50.80841855165347	12.85704359737064
54	891e349363bffff	h3place				12.81504	50.80818	9.0		50.80817556433253	12.815043457546164
55	891e349a553ffff	h3place				12.80108	50.73645	9.0		50.736454854291786	12.801080099427647
56	891f1a64dc3ffff	h3place				12.77919	50.79316	9.0		50.79316182942237	12.779192953082942
57	891f1a64317ffff	h3place				12.70939	50.77081	9.0		50.770806173641574	12.709387919427858
58	891e349a897ffff	h3place				12.88394	50.71914	9.0		50.719144467738545	12.883944243460588
59	891e348a5c3ffff	h3place				12.9308	50.62598	9.0		50.62597978109162	12.930804110593412
60	891f1a6598fffff	h3place				12.74399	50.74025	9.0		50.74024644092963	12.74399012799833
61	891e349159bffff	h3place				12.87115	50.7866	9.0		50.786596504929776	12.871149762793424
62	891e34931d7ffff	h3place				12.86607	50.81912	9.0		50.81912044372295	12.866073971513915
63	891e349004bffff	h3place				12.91766	50.79217	9.0		50.79216879929031	12.917664650868277
64	891e34906c7ffff	h3place				12.88736	50.8003	9.0		50.80029853497508	12.887355914856863
65	891e349a58fffff	h3place				12.81275	50.74482	9.0		50.74481627846076	12.812750141322415
66	891e349100bffff	h3place				12.86108	50.75812	9.0		50.758120315353814	12.861075205922715
67	891f1a6688fffff	h3place				12.754	50.82939	9.0		50.82938877209818	12.753997499765724
68	891e3491583ffff	h3place				12.87607	50.78692	9.0		50.78691918367257	12.876066494302336
69	891e349142fffff	h3place				12.85987	50.77321	9.0		50.77321367043433	12.859866323843551
70	891e349aecfffff	h3place				12.84055	50.70617	9.0		50.70616925461514	12.840547749756063
71	891f1a64a47ffff	h3place				12.75565	50.74861	9.0		50.74861228834338	12.755651476092993
72	891e3491873ffff	h3place				12.95114	50.74377	9.0		50.7437702304402	12.951143377154397
73	891e3483677ffff	h3place				12.94302	50.6901	9.0		50.690096477269115	12.943023920551298
74	891e3491e6fffff	h3place				12.92205	50.73682	9.0		50.73681716947445	12.922051302935818
75	891e34902dbffff	h3place				12.89614	50.78318	9.0		50.78317775344574	12.896135365229425
76	891f1a6622bffff	h3place				12.66143	50.81307	9.0		50.813074124324224	12.661434955947017
77	891e3491cc7ffff	h3place				12.92458	50.76734	9.0		50.7673350937635	12.924575906999467
78	891f1a64a6bffff	h3place				12.76097	50.74391	9.0		50.743908354546896	12.760972712084909
79	891e3491a8fffff	h3place				12.93454	50.7351	9.0		50.73510054444354	12.934536397884703
80	891e3491ad7ffff	h3place				12.92471	50.73446	9.0		50.73446030851754	12.924707638981367
81	891e3483687ffff	h3place				12.93958	50.70253	9.0		50.70252969319777	12.939575700798962
82	891e3493063ffff	h3place				12.84495	50.8051	9.0		50.805095273913786	12.844951498465472
83	891e34930a7ffff	h3place				12.85624	50.81847	9.0		50.81847375849116	12.85623658895307
84	891e349ae33ffff	h3place				12.86019	50.70746	9.0		50.707462336952936	12.860190158822318
85	891e349adabffff	h3place				12.90771	50.73082	9.0		50.73082087136734	12.90770834184343
86	891e3493477ffff	h3place				12.82858	50.82423	9.0		50.82423130567452	12.828578359696234
87	891e3491c9bffff	h3place				12.92418	50.77237	9.0		50.772366730152584	12.924177407224985
88	891e3490653ffff	h3place				12.88284	50.79495	9.0		50.79494716390343	12.882839572449882
89	891e3491b93ffff	h3place				12.96363	50.74205	9.0		50.742050737522675	12.963630350736857
90	891e349ad5bffff	h3place				12.8862	50.72182	9.0		50.721822770090824	12.886199933762715
91	891e349316fffff	h3place				12.88204	50.805	9.0		50.80500499039293	12.88203634109901
92	891e349063bffff	h3place				12.90251	50.79623	9.0		50.79623488193982	12.902510731567482
93	891e3491ad3ffff	h3place				12.91979	50.73414	9.0		50.734139887369494	12.919793462046536
94	891e3493393ffff	h3place				12.85479	50.80574	9.0		50.805742770774	12.854786482486263
95	891e3498dc7ffff	h3place				12.91435	50.6781	9.0		50.67810114601527	12.914354440913494
96	891e349129bffff	h3place				12.83957	50.74912	9.0		50.749116820386575	12.839568181316226
97	891f1a66ba3ffff	h3place				12.78247	50.8136	9.0		50.813597835414534	12.782473635626472
98	891e349142bffff	h3place				12.85495	50.77289	9.0		50.77289038402601	12.854950926297368
99	891f1a6400fffff	h3place				12.69116	50.78222	9.0		50.78222246614749	12.691160330592135
100	891e3491c1bffff	h3place				12.92723	50.76498	9.0		50.76497934029433	12.927233337923358
101	891f1a659bbffff	h3place				12.7489	50.74057	9.0		50.740574168939084	12.748900665602049
102	891f1a659b3ffff	h3place				12.75115	50.74325	9.0		50.743253664647504	12.751150744801768
103	891e349ae3bffff	h3place				12.85794	50.70478	9.0		50.70478317771687	12.85793614054365
104	891e3491e37ffff	h3place				12.93108	50.74753	9.0		50.74752506716176	12.931084577975676
105	891e3498bb3ffff	h3place				12.93147	50.64883	9.0		50.64882544687722	12.931470175994212
106	891f1a64577ffff	h3place				12.70957	50.79862	9.0		50.798623657347676	12.709569168071198
107	891f1a65d9bffff	h3place				12.71779	50.75873	9.0		50.75872679411905	12.717788269040174
108	891f1a64cabffff	h3place				12.76445	50.79218	9.0		50.79218106514194	12.764448590169806
109	891e3491e67ffff	h3place				12.92431	50.73949	9.0		50.739494328522895	12.924309334956135
110	891f1a6408bffff	h3place				12.68317	50.78927	9.0		50.78926798560779	12.683168998990585
111	891e3491c8bffff	h3place				12.92684	50.77001	9.0		50.77001118147734	12.926835038062581
112	891e34906cbffff	h3place				12.88018	50.7973	9.0		50.79730055701878	12.880179957990514
113	891e34915c3ffff	h3place				12.86664	50.78124	9.0		50.78124374028256	12.86663581331124
114	891f1a64dcbffff	h3place				12.77694	50.79048	9.0		50.790484422805235	12.776939962845567
115	891e349060fffff	h3place				12.89759	50.79591	9.0		50.79591325588519	12.897592738252733
116	891f1a64493ffff	h3place				12.6641	50.81073	9.0		50.81072729253496	12.66410029565491
117	891e3493007ffff	h3place				12.8468	50.8128	9.0		50.81279892564926	12.846803971326521
118	891e349332bffff	h3place				12.87075	50.79163	9.0		50.79162605858077	12.87074740285823
119	891e348345bffff	h3place				12.93918	50.70757	9.0		50.70756621449996	12.939178620448535
120	891f1a6448fffff	h3place				12.66943	50.80603	9.0		50.806033139055835	12.669430521103884
